Rank,Place,County,Type,TOTAL SCORE,Crime & safety,Schools,Rent cost,Close to SF,School/TK place,Urban density,2BR median rent $,3BR median rent $,2BR under $4k (est. listings),2BR under $4k supply,3BR under $4k (est. listings),3BR under $4k supply,Violent crime /1k,Property crime /1k,Elementary district,Elementary CAASPP % met,Elementary rating /10,Middle/high district,Middle/high CAASPP % met,Middle/high rating /10,"Drive to Ferry Bldg (min, off-peak)",Miles to SF (straight line),Urbanicity index,Population,District enrolment change 2023-25 %,School assignment system,TK capacity,Rank status,Sources,Notes
29,San Lorenzo,Alameda,Unincorporated community,60.7,59.7,4.2,76.6,60.5,89.3,74.0,2567,3600,94% of 2BR stock,Plenty,65% of 3BR stock,Plenty,4.1,17.9,San Lorenzo Unified,27.0,2,San Lorenzo Unified,26.6,3,29.6,16.7,439043,29581,-8.1,"address-based attendance area (elementary and middle; high school placement is by Small Learning Community preference, not address)","Widely available. District states it ""is welcoming new students in its transitional kindergarten (TK) and kindergarten programs for the 2026-27 school year,"" describes TK as part of a statewide initiative ""available to all,"" and notes ""Families do not need to live in the San Lorenzo Unified School District to attend our schools."" Enrollment is open with ""Central Enrollment ... open through summer."" No waitlist, TK lottery, or limited-seat language appears on the enrollment or TK pages.",Ranked,crimegrade.org; CAASPP 2025 (CDE); slzusd.org,"enrolment -8.1% 2023-25 (seats opening); address-based assignment; TK constrained; All three data types came from the standard patterns. Rent: 2BR and 3BR from the same Zumper page (1BR $2,005 also shown). Crime: both crimegrade pages self-identified as San Lorenzo, CA. District: GreatSchools page described San Lorenzo as 'a city in Alameda county, California' — correct county, so no collision with San Lorenzo Valley in Santa Cruz County — and named San Lorenzo Unified School District serving K-12 across 20 schools. Single unified district covering K-12, so the same name is entered in both distri"
30,Mill Valley,Marin,City,60.7,48.8,84.0,26.3,72.1,94.8,38.1,4240,6320,42% of 2BR stock,Some,5% of 3BR stock,Very few,4.2,23.3,Mill Valley Elementary,83.5,10,Tamalpais Union High,61.5,9,23.9,11.2,235565,14231,-8.0,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -8.0% 2023-25 (seats opening); All three sources hit on the standard city slug. 2BR and 3BR from the same Zumper page. I also fetched RentCafe for Mill Valley as a cross-check and it returned 'n/a' (no bedroom breakdown), so the Zumper figures stand unconfirmed by a second publisher — but no mixing occurred. District is the split elementary/union-high pattern: Mill Valley Elementary (K-8) plus Tamalpais Union High (9-12); Tamalpais UHSD is headquartered in Larkspur but is the serving high school district per the page."
31,Highlands-Baywood Park,San Mateo,Unincorporated community,60.7,86.1,66.9,30.2,64.2,70.0,46.5,4295,5500,40% of 2BR stock,Some,13% of 3BR stock,Few,2.7,11.5,San Mateo-Foster City,49.9,7,San Mateo Union High,62.0,9,27.9,18.9,283750,4376,-3.2,address-based attendance area,Constrained — TK at only 15 named schools (3 of them transfer-only); overflow placement to another school when the TK class is full,Ranked,crimegrade.org; CAASPP 2025 (CDE); smfcsd.net,"enrolment -3.2% 2023-25 (seats opening); address-based assignment; TK constrained; DISTRICT — evidence differs in strength between the two fields, please read. ELEMENTARY (solid): greatschools.org/california/san-mateo/6966-Highlands-Elementary-School/ shows Highlands Elementary School, 2320 Newport Street, San Mateo, CA 94402 — the neighbourhood's namesake school, sitting in the Highlands — as belonging to the San Mateo-Foster City School District. HIGH SCHOOL (inferred, weaker): no page I fetched named the CDP ""Highlands-Baywood Park"" alongside a high school district. greatschools.org/california"
32,Los Altos,Santa Clara,City,60.1,76.0,93.2,22.8,37.7,63.3,67.9,4117,6995,46% of 2BR stock,Some,2% of 3BR stock,Very few,2.7,18.6,Los Altos Elementary,83.4,10,Mountain View-Los Altos Union High,73.0,10,43.1,32.2,388575,31625,-2.7,address-based attendance area,"Constrained — but stated district-wide across grades, not TK-specifically",Ranked,crimegrade.org; CAASPP 2025 (CDE); lasdschools.org,"enrolment -2.7% 2023-25 (flat); address-based assignment; TK constrained; COLLISION CHECKED: Los Altos vs Los Altos Hills are separate places; I explicitly asked each page which one it covered and both Zumper and CrimeGrade confirmed Los Altos (the city), not Los Altos Hills. GreatSchools confirmed 'Los Altos is a city in Santa Clara county'. 2BR and 3BR from the same Zumper page. Districts: Los Altos Elementary SD (K-8) + Mountain View-Los Altos Union HSD (9-12); page also noted Cupertino Union SD serves portions of Los Altos, not used as the primary."
33,Emerald Lake Hills,San Mateo,Unincorporated community,60.1,96.4,62.4,34.7,53.7,65.0,48.4,4060,5500,48% of 2BR stock,Some,13% of 3BR stock,Few,1.3,5.4,Redwood City Elementary,45.4,7,Sequoia Union High,57.2,9,33.8,23.8,294482,4528,-2.8,"address-based attendance area (with an optional ""School of Choice"" lottery layered on top for specialized/immersion programs only)","Constrained. Enrollment page (which explicitly covers ""new 2026-27 students entering TK and K-8 grades""): ""If space is not available at the neighborhood school at the time the family is enrolling during the spring and summer, students are placed at a different school until space becomes available at their neighborhood school. Students are enrolled in the order in which they submit their application."" School of Choice page adds: ""If a student moves into the area after the open enrollment period and their neighborhood school is full, they will be placed at a school that has openings,"" and ""seats are limited and families transferring from another neighborhood school may be placed on a waitlist.""",Ranked,"areavibes.com (modeled estimate, NOT FBI-reported) (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE); rcsdk8.net","enrolment -2.8% 2023-25 (flat); address-based assignment; TK constrained; IN SCOPE THIS PASS: crime + district. CRIME: converted from AreaVibes per-100,000 (2024) by dividing by 100 — violent 126/100k = 1.26 per 1k, property 540/100k = 5.40 per 1k. IMPORTANT CAVEAT: page states verbatim 'Emerald Lake Hills crime rates are not available from the FBI crime report'; figures are estimates derived from home prices, income, poverty and population density, not observed reported crime. CrimeGrade 404'd on both the violent and property slugs. DISTRICT: residents are zoned to primary schools in Re"
34,Twin Peaks,San Francisco,SF neighbourhood,59.9,70.2,50.2,46.7,87.9,9.0,95.3,3043,5183,84% of 2BR stock,Plenty,18% of 3BR stock,Few,1.8,26.7,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,15.6,4.3,720154,7000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; violent_crime_per_1k CONVERTED: AreaVibes reports a 1-in-254 annual chance of violent victimization in Twin Peaks = 3.94 per 1,000. property_crime_per_1k is CrimeGrade's stated 34.68 per 1,000 (unconverted). Note the two sources are not methodologically identical; CrimeGrade's high total (52.42/1,000) is driven by property crime, mostly car break-ins on the tourist-heavy summit road, not by violence against residents. Supply is genuinely thin: Twin Peaks proper is mostly single-family homes, and apartments.com show"
35,Cupertino,Santa Clara,City,59.9,74.2,94.6,32.3,28.8,54.5,74.9,4095,5595,47% of 2BR stock,Some,12% of 3BR stock,Few,2.1,21.2,Cupertino Union,81.2,10,Fremont Union High,76.5,10,50.0,38.2,445968,60381,-1.9,address-based attendance area,"Constrained. The 2026-27 Open Enrollment page lists ""Transitional Kindergarten (TK): No sites available"" among attendance-area schools, and states Open Enrollment ""is not a backup plan for students who are overflowed to another attendance area school because their home attendance area school is too full"" — schools do fill and overflow students. Only the alternative school McAuliffe (TK-8) took TK through that pathway.",Ranked,crimegrade.org; CAASPP 2025 (CDE); cusdk8.org,"enrolment -1.9% 2023-25 (flat); address-based assignment; TK constrained; All three data types found via standard patterns; 2BR and 3BR from the same Zumper page. Minor observation for the reader: Zumper reported an identical 1BR figure ($3,363) for both Cupertino and Los Altos, which hints the 1BR series may be metro-smoothed — the 2BR and 3BR values I actually report differ between the two cities, so this does not affect the reported fields. Districts confirmed on a page that self-identified as 'Cupertino is a city in Santa Clara county'."
36,Newark,Alameda,City,59.8,67.1,31.9,66.5,38.1,87.6,67.4,2834,3827,89% of 2BR stock,Plenty,56% of 3BR stock,Some,3.2,20.3,Newark Unified,46.0,7,Newark Unified,42.1,7,42.0,26.7,388347,47529,-7.9,address-based attendance area,"CONSTRAINED for home-school placement — ""The location of the Transitional Kindergarten class may not be at a student's home school""; no waitlist, lottery, or seat-count language found, and the district's TK site list was not published on the page",Ranked,crimegrade.org; CAASPP 2025 (CDE); newarkunified.org,"enrolment -7.9% 2023-25 (seats opening); address-based assignment; TK constrained; Batch listed Newark as needing crime only, so rent and district were not re-fetched — those nulls mean 'not collected by me' rather than 'unavailable'. Collision check on the big one: 'Newark' most commonly resolves to Newark, New Jersey. I explicitly asked both CrimeGrade pages to confirm the state, and both self-identified as Newark, California (Alameda County) — the NJ page was not used."
37,Lone Mountain/USF,San Francisco,SF neighbourhood,59.8,55.3,50.2,59.3,91.6,9.0,93.0,2834,4303,89% of 2BR stock,Plenty,40% of 3BR stock,Some,3.2,31.7,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,13.0,3.4,698786,24000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Crime NOT FOUND. Three CrimeGrade slug variants all returned HTTP 404: /violent-crime-lone-mountain-san-francisco-ca/, /violent-crime-lone-mountain-usf-san-francisco-ca/, /violent-crime-lone-mountain-ca/. Per instructions I did NOT substitute the citywide San Francisco figure, so crime is null. Districts intentionally skipped (SF neighbourhood = San Francisco Unified). Rent not attempted — batch brief listed this place as needing crime only."
38,Fairfax,Marin,Town,59.5,39.4,85.0,55.1,61.4,89.3,27.0,2995,4725,85% of 2BR stock,Plenty,28% of 3BR stock,Few,4.8,21.2,Ross Valley Elementary,77.9,10,Ross Valley Elementary,69.8,10,29.3,17.0,147649,7605,-4.1,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); rossvalleyschools.org,"enrolment -4.1% 2023-25 (seats opening); address-based assignment; Zumper city pattern worked; 2BR ($2,995) and 3BR ($4,725) both from the SAME page (1BR $2,550). The same page's prose quoted $2,250/$3,000 for 1BR/2BR; I used the detailed breakdown table consistently. COLLISION RISK RESOLVED: 'Fairfax' also exists in Virginia and as Fairfax Elementary School District in Bakersfield CA; all three fetched pages (Zumper, both CrimeGrade, GreatSchools) confirmed Fairfax, CA. CrimeGrade property figure from https://crimegrade.org/property-crime-fairfax-ca/. DISTRICT PARTIAL: GreatSchoo"
39,Foster City,San Mateo,City,59.5,70.8,60.6,28.7,69.1,70.0,57.7,4603,5750,31% of 2BR stock,Some,10% of 3BR stock,Very few,2.8,20.2,San Mateo-Foster City,49.9,7,San Mateo-Foster City,52.2,8,25.2,17.7,342535,33805,-3.2,address-based attendance area,Constrained — TK at only 15 named schools (3 of them transfer-only); overflow placement to another school when the TK class is full,Ranked,crimegrade.org; CAASPP 2025 (CDE); smfcsd.net,"enrolment -3.2% 2023-25 (seats opening); address-based assignment; TK constrained; Rent: Zumper city pattern worked, page self-identified as 'Foster City, California'; 2BR and 3BR from the same page. Crime: both crimegrade pages worked and self-identified as Foster City. District: greatschools.org/california/foster-city/ named exactly ONE district — San Mateo-Foster City School District, 'Grades PK, K-8' — an elementary district. I re-fetched the page asking specifically for every district and any 9-12 district; it confirmed no high school district is named. I also tried /foster-city/schools/ whi"
40,Fairview,Alameda,Unincorporated community,59.4,73.6,3.1,74.3,50.9,85.5,68.8,2750,3505,91% of 2BR stock,Plenty,68% of 3BR stock,Plenty,3.4,15.1,Hayward Unified,25.5,2,Hayward Unified,28.0,3,35.2,21.3,396863,10003,-3.5,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); husd.us,"enrolment -3.5% 2023-25 (seats opening); address-based assignment; TARGET FIELD (district) RESOLVED. Hayward Unified is a K-12 unified district, so the same name is correct for both elementary and high school. Right-place check passed on crime: the crimegrade property-crime page lists neighbours Castro Valley, Hayward, Cherryland, Ashland, San Lorenzo, Union City, San Leandro, Sunol - all Alameda County, so this is not an out-of-area Fairview namesake. Both crime figures are already per-1,000 as published, no conversion applied, and both come from the same publisher."
41,Los Altos Hills,Santa Clara,Town,59.3,81.7,99.1,16.8,36.5,63.3,58.1,5440,6800,14% of 2BR stock,Few,3% of 3BR stock,Very few,2.8,13.7,Los Altos Elementary,83.4,10,Los Altos Elementary,87.2,10,43.7,32.0,344192,8489,-2.7,address-based attendance area,"Constrained — but stated district-wide across grades, not TK-specifically",Ranked,crimegrade.org; CAASPP 2025 (CDE); lasdschools.org,"enrolment -2.7% 2023-25 (flat); address-based assignment; TK constrained; Collision risk handled explicitly: Los Altos Hills vs the separate city of Los Altos. Every page was checked and confirmed to say 'Los Altos Hills' — the Zumper page, both CrimeGrade pages, and the GreatSchools page header. Rent 2BR and 3BR both from the one Zumper page. District: GreatSchools named only Los Altos Elementary School District (K-8, 10 schools, headquartered in LOS ALTOS — reported as the page shows it, since for a town like this the serving district commonly carries the neighbouring city's name). The"
42,Hayward,Alameda,City,59.0,54.2,3.1,82.6,55.8,85.5,72.6,2500,3355,95% of 2BR stock,Plenty,74% of 3BR stock,Plenty,4.3,19.1,Hayward Unified,25.5,2,Hayward Unified,28.0,3,32.7,19.2,436839,162954,-3.5,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); husd.us,"enrolment -3.5% 2023-25 (seats opening); address-based assignment; Complete row. Zumper primary pattern worked; 2BR ($2,500) and 3BR ($3,355) from the SAME page. Both CrimeGrade pages resolved and self-identified as Hayward, CA. DISTRICT NUANCE: the GreatSchools page (which confirms Hayward is a city in Alameda County) lists THREE K-12 unified districts touching the city — Hayward Unified (34 schools, 19,954 students), San Lorenzo Unified (20 schools), and New Haven Unified (14 schools). Hayward Unified is by far the largest and is the city's own namesake district, so I recorded i"
